"id","priority","download","year","title","authors","doi","category","landing_url","pdf_url","access_status","license_or_access_basis","local_filename","relevance"
"sierociuk2006","A","1","2006","Fractional Kalman filter algorithm for the states parameters and order of fractional system estimation","Dominik Sierociuk; Andrzej Dzielinski","","fractional_filter","https://eudml.org/doc/207770","https://matwbn.icm.edu.pl/ksiazki/amc/amc16/amc1619.pdf","free_full_text","EuDML full text; reuse license not stated","sierociuk2006_fractional_kalman_filter.pdf","Foundational FKF/EFKF; already estimates state, parameters, and order and identifies a correlation-consistency gap."
"sadeghian2014","B","0","2014","On the fractional-order extended Kalman filter and its application to chaotic cryptography in noisy environment","Hoda Sadeghian; Hassan Salarieh; Aria Alasty; Ali Meghdari","10.1016/j.apm.2013.07.011","fractional_filter","https://doi.org/10.1016/j.apm.2013.07.011","","subscription","Metadata/abstract only","","FO-EKF itself is established prior art."
"sierociuk_macias2016","B","1","2016","Dual Estimation of Fractional Variable Order Based on the Unscented Fractional Order Kalman Filter for Direct and Networked Measurements","Dominik Sierociuk; Michal Macias; Wiktor Malesza; Grzegorz Sarwas","10.1007/s00034-016-0255-1","fractional_filter","https://doi.org/10.1007/s00034-016-0255-1","https://link.springer.com/content/pdf/10.1007%2Fs00034-016-0255-1.pdf","open_access","CC BY 4.0","sierociuk2016_dual_variable_order_ufokf.pdf","Prior dual state/order estimation."
"sun2017","A","0","2017","Fractional extended Kalman filtering for non-linear fractional system with Levy noises","Yonghui Sun; Xiaopeng Wu; Jinde Cao; Zhinong Wei; Guoqiang Sun","10.1049/iet-cta.2016.1041","fractional_filter","https://ietresearch.onlinelibrary.wiley.com/doi/10.1049/iet-cta.2016.1041","https://ietresearch.onlinelibrary.wiley.com/doi/pdfdirect/10.1049/iet-cta.2016.1041","free_access","Publisher marks Free Access; automated retrieval returns HTTP 403","sun2017_fractional_extended_kalman_filter.pdf","Nonlinear FEKF with non-Gaussian Levy noise."
"xue2018","B","0","2018","The Fractional Kalman Filter-Based Asynchronous Multirate Sensor Information Fusion","Guangyue Xue; Yubin Xu; Jing Guo; Wei Zhao","10.1155/2018/1450353","fractional_filter","https://doi.org/10.1155/2018/1450353","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1155/2018/1450353","open_access","Gold OA; verify article copyright page","xue2018_fractional_kf_multirate_fusion.pdf","Relevant mean-square exponential boundedness analysis."
"huang2019","B","0","2019","Extended Kalman filters for fractional-order nonlinear continuous-time systems containing unknown parameters with correlated colored noises","Xiaomin Huang; Zhe Gao; Ruicheng Ma; Xiaojiao Chen","10.1002/rnc.4699","fractional_filter","https://doi.org/10.1002/rnc.4699","","subscription","Metadata/abstract only","","Unknown-parameter FEKF with correlated colored noise."
"sierociuk_macias2021","A","1","2021","Triple Estimation of Fractional Variable Order, Parameters, and State Variables Based on the Unscented Fractional Order Kalman Filter","Dominik Sierociuk; Michal Macias","10.3390/s21238159","fractional_filter","https://www.mdpi.com/1424-8220/21/23/8159","https://mdpi-res.com/d_attachment/sensors/sensors-21-08159/article_deploy/sensors-21-08159-v2.pdf","open_access","CC BY 4.0","sierociuk_macias2021_triple_estimation.pdf","Direct prior art for joint state, parameter, and variable-order estimation."
"yu2026","B","0","2026","A fractional high-order extended Kalman filter for fractional-order nonlinear systems","Wei Yu; Yanxiang Zhang; Rui Chen; Wenbo Zhu; Chenglin Wen; Yangquan Chen","10.1016/j.isatra.2026.02.020","fractional_filter","https://doi.org/10.1016/j.isatra.2026.02.020","","subscription","Metadata/abstract only","","Newest high-order FEKF prior art as of the review date."
"mcsharry2003","A","1","2003","A dynamical model for generating synthetic electrocardiogram signals","Patrick E. McSharry; Gari D. Clifford; Lionel Tarassenko; Leonard A. Smith","10.1109/TBME.2003.808805","ecg_model","https://doi.org/10.1109/TBME.2003.808805","https://www.robots.ox.ac.uk/~gari/papers/ieeetbe50p289.pdf","author_manuscript","Author-hosted full text; publisher reuse rights retained","mcsharry2003_ecg_dynamical_model.pdf","Integer-order ECG generator underlying the closest fractional extension."
"sameni2007","A","1","2007","A nonlinear Bayesian filtering framework for ECG denoising","Reza Sameni; Mohammad Bagher Shamsollahi; Christian Jutten; Gari D. Clifford","10.1109/TBME.2007.897817","ecg_filtering","https://gdclifford.info/publications","https://drive.usercontent.google.com/download?id=1-uthmjWcgP5fMuiVIieVc5qGTTzGM2hg&export=download","author_manuscript","Coauthor publication page links the full text; publisher reuse rights retained","sameni2007_nonlinear_bayesian_ecg_filtering.pdf","Established ECG dynamical-model EKF/EKS baseline."
"sayadi2007","A","0","2007","ECG Denoising Using Parameters of ECG Dynamical Model as the States of an Extended Kalman Filter","Omid Sayadi; Reza Sameni; Mohammad B. Shamsollahi","10.1109/IEMBS.2007.4352848","ecg_filtering","https://doi.org/10.1109/IEMBS.2007.4352848","","subscription","PubMed metadata/abstract only","","Direct prior art for treating ECG morphology parameters as EKF states."
"sayadi2008","A","0","2008","ECG denoising and compression using a modified extended Kalman filter structure","Omid Sayadi; Mohammad Bagher Shamsollahi","10.1109/TBME.2008.921150","ecg_filtering","https://pubmed.ncbi.nlm.nih.gov/18713693/","","subscription","PubMed metadata/abstract only","","Seventeen-dimensional joint ECG state/parameter EKF."
"das2013","A","1","2013","Fractional dynamical model for the generation of ECG like signals from filtered coupled Van-der Pol oscillators","Saptarshi Das; Koushik Maharatna","10.1016/j.cmpb.2013.08.012","fractional_ecg","https://eprints.soton.ac.uk/359308/","https://eprints.soton.ac.uk/359308/2/Accepted_20version.pdf","author_manuscript","Southampton accepted manuscript; reuse license not confirmed","das2013_fractional_ecg_vdp.pdf","Closest early fractional low-order ECG generator with parameter fitting."
"comlekoglu2017","A","0","2017","Memory in a fractional-order cardiomyocyte model alters properties of alternans and spontaneous activity","Tien Comlekoglu; Seth H. Weinberg","10.1063/1.4999351","fractional_cardiac","https://pubmed.ncbi.nlm.nih.gov/28964143/","","subscription","PubMed metadata/abstract only","","Fractional cardiomyocyte memory in a minimal cardiac model."
"comlekoglu2020","B","0","2020","Memory in a fractional-order cardiomyocyte model alters voltage- and calcium-mediated instabilities","Tien Comlekoglu; Seth H. Weinberg","10.1016/j.cnsns.2020.105340","fractional_cardiac","https://doi.org/10.1016/j.cnsns.2020.105340","","subscription","Metadata/abstract only","","Extends fractional memory to detailed voltage/calcium dynamics."
"belmiloudi2021","A","1","2021","Cardiac memory phenomenon, time-fractional order nonlinear system and bidomain-torso type model in electrocardiology","Aziz Belmiloudi","10.3934/math.2021050","fractional_cardiac","https://www.aimspress.com/article/doi/10.3934/math.2021050","https://www.aimspress.com/aimspress-data/math/2021/1/PDF/math-06-01-050.pdf","open_access","CC BY 4.0","belmiloudi2021_fractional_bidomain_torso.pdf","Combines fractional cardiac dynamics, torso forward model, and stability analysis."
"templos2021","A","0","2021","A fractional-order approach to cardiac rhythm analysis","Diana J. Templos-Hernandez et al.","10.1016/j.chaos.2021.110942","fractional_ecg","https://doi.org/10.1016/j.chaos.2021.110942","","subscription","Metadata/abstract only","","Fractional coupled oscillators fitted to real ECG conditions."
"takha2024","A","0","2024","Fractional calculus integration for improved ECG modeling: A McSharry model expansion","Abdelghani Takha; Mohamed Lamine Talbi; Philippe Ravier","10.1016/j.medengphy.2024.104237","fractional_ecg","https://doi.org/10.1016/j.medengphy.2024.104237","","subscription","Metadata/abstract only","","Closest fractional McSharry plus MIT-BIH parameter-optimization study."
"achabbak2026","B","0","2026","A novel numerical method for solving time-fractional models in cardiac electrophysiology","Ahdia Achabbak; Youssef Belhamadia; Mohammed Seaid; Naji Yebari","10.1016/j.cnsns.2025.109191","fractional_cardiac","https://doi.org/10.1016/j.cnsns.2025.109191","https://www.sciencedirect.com/science/article/pii/S1007570425006021/pdfft?isDTMRedir=true&download=true","open_access","CC BY-NC; automated retrieval returns HTTP 403","achabbak2026_time_fractional_cardiac_solver.pdf","Candidate independent high-accuracy truth solver for avoiding inverse crime."
"berrier2004","B","0","2004","Solving the inverse problem of electrocardiography using a Duncan and Horn formulation of the Kalman filter","Keith L. Berrier; Danny C. Sorensen; Dirar S. Khoury","10.1109/TBME.2003.821027","cardiac_inverse","https://pubmed.ncbi.nlm.nih.gov/15000381/","","subscription","PubMed metadata/abstract only","","Early Kalman regularization of inverse electrocardiography."
