order,damping,harmonic,triple,nu1,nu2,nu3,common_factor_abs,common_factor_phase,order_error,damping_error,morphology_error,invariant_imag_abs,pass
0.5,0.2,1,0-1-2,0.7,1.0,1.4,1.0,0.0,1.241229341530925e-13,2.0469737016526324e-13,3.038037621736413e-13,8.651178170481293e-16,1
0.5,0.2,1,0-1-2,0.7,1.0,1.4,3.2,0.63,1.241229341530925e-13,2.057243264630415e-13,9.749008404648545e-13,3.1164762361502686e-16,1
0.5,0.2,1,0-1-3,0.7,1.0,1.9,1.0,0.0,1.0436096431476471e-14,1.6708856520608606e-14,2.4780180396692116e-14,2.8837260568270977e-16,1
0.5,0.2,1,0-1-3,0.7,1.0,1.9,3.2,0.63,1.0436096431476471e-14,1.7541523789077473e-14,8.178961105344724e-14,1.229276737592606e-15,1
0.5,0.2,1,0-1-4,0.7,1.0,2.6,1.0,0.0,1.0436096431476471e-14,1.6708856520608606e-14,2.4780180396692116e-14,1.4418630284135488e-15,1
0.5,0.2,1,0-1-4,0.7,1.0,2.6,3.2,0.63,1.0436096431476471e-14,1.7541523789077473e-14,8.178961105344724e-14,9.349428708450807e-16,1
0.5,0.2,1,0-2-3,0.7,1.4,1.9,1.0,0.0,3.306244167333716e-13,5.958566973163215e-13,8.598128615962832e-13,4.0775040625198733e-16,1
0.5,0.2,1,0-2-3,0.7,1.4,1.9,3.2,0.63,3.306244167333716e-13,5.956901638626277e-13,2.752304743509637e-12,3.5089640285538415e-16,1
0.5,0.2,1,0-2-4,0.7,1.4,2.6,1.0,0.0,1.0325074129013956e-13,1.860456233515606e-13,2.681738157392283e-13,1.3591680208399579e-16,1
0.5,0.2,1,0-2-4,0.7,1.4,2.6,3.2,0.63,1.0325074129013956e-13,1.8590684547348246e-13,8.588957416420488e-13,1.1424534046454368e-16,1
0.5,0.2,1,0-3-4,0.7,1.9,2.6,1.0,0.0,3.306244167333716e-13,6.41597885930878e-13,9.074711594356525e-13,3.477856697721956e-16,1
0.5,0.2,1,0-3-4,0.7,1.9,2.6,3.2,0.63,3.306244167333716e-13,6.420974862919593e-13,2.904080633795514e-12,2.5057067459711224e-16,1
0.5,0.2,1,1-2-3,1.0,1.4,1.9,1.0,0.0,1.241229341530925e-13,2.461086889837816e-13,3.414155322215279e-13,1.2854440909376323e-15,1
0.5,0.2,1,1-2-3,1.0,1.4,1.9,3.2,0.63,1.241229341530925e-13,2.451649994128502e-13,1.0881699064600208e-12,5.2480675669966e-16,1
0.5,0.2,1,1-2-4,1.0,1.4,2.6,1.0,0.0,1.0436096431476471e-14,2.1788126858268697e-14,3.0232536980269104e-14,1.2854440909376323e-15,1
0.5,0.2,1,1-2-4,1.0,1.4,2.6,3.2,0.63,1.0436096431476471e-14,2.0816681711721685e-14,9.264875997516715e-14,9.26129570646459e-17,1
0.5,0.2,1,1-3-4,1.0,1.9,2.6,1.0,0.0,3.306244167333716e-13,7.010503288995551e-13,9.495982014378417e-13,3.73431555826241e-16,1
0.5,0.2,1,1-3-4,1.0,1.9,2.6,3.2,0.63,3.306244167333716e-13,7.027156634364928e-13,3.041954327804244e-12,4.63360236354787e-16,1
0.5,0.2,1,2-3-4,1.4,1.9,2.6,1.0,0.0,1.241229341530925e-13,2.845501612114276e-13,3.7132370055468275e-13,1.4479133580222806e-15,1
0.5,0.2,1,2-3-4,1.4,1.9,2.6,3.2,0.63,1.241229341530925e-13,2.8207991498163665e-13,1.1863021818057512e-12,1.173582584655909e-15,1
0.5,0.2,2,0-1-2,1.4,2.0,2.8,1.0,0.0,1.241229341530925e-13,2.8957392039785645e-13,3.80118577636616e-13,7.850543661987102e-16,1
0.5,0.2,2,0-1-2,1.4,2.0,2.8,3.2,0.63,1.241229341530925e-13,2.8954616482224083e-13,1.2154787386290333e-12,8.759163918844265e-16,1
0.5,0.2,2,0-1-3,1.4,2.0,3.8,1.0,0.0,1.0436096431476471e-14,2.5673907444456745e-14,3.278096813351159e-14,1.1215062374267289e-15,1
0.5,0.2,2,0-1-3,1.4,2.0,3.8,3.2,0.63,1.0436096431476471e-14,2.5701663020072374e-14,1.041301606523735e-13,9.732404354271405e-16,1
0.5,0.2,2,0-1-4,1.4,2.0,5.2,1.0,0.0,1.0436096431476471e-14,2.5673907444456745e-14,3.278096813351159e-14,2.2430124748534576e-16,1
0.5,0.2,2,0-1-4,1.4,2.0,5.2,3.2,0.63,1.0436096431476471e-14,2.5701663020072374e-14,1.041301606523735e-13,1.751832783768853e-15,1
0.5,0.2,2,0-2-3,1.4,2.8,3.8,1.0,0.0,3.306244167333716e-13,8.325007350151736e-13,1.0649603890897353e-12,1.0571846167386156e-16,1
0.5,0.2,2,0-2-3,1.4,2.8,3.8,3.2,0.63,3.306244167333716e-13,8.329725798006393e-13,3.4100257426187044e-12,2.29355571637823e-16,1
0.5,0.2,2,0-2-4,1.4,2.8,5.2,1.0,0.0,1.241229341530925e-13,3.1319391524675666e-13,4.0070803628343385e-13,8.457476933908925e-16,1
0.5,0.2,2,0-2-4,1.4,2.8,5.2,3.2,0.63,1.0325074129013956e-13,2.601252546696742e-13,1.0647248808731404e-12,1.834844573102584e-16,1
0.5,0.2,2,0-3-4,1.4,3.8,5.2,1.0,0.0,3.306244167333716e-13,8.927858452523196e-13,1.117287876918877e-12,4.733990905786925e-16,1
0.5,0.2,2,0-3-4,1.4,3.8,5.2,3.2,0.63,3.306244167333716e-13,8.92980134281629e-13,3.5767300674791736e-12,1.173756001833383e-16,1
0.5,0.2,2,1-2-3,2.0,2.8,3.8,1.0,0.0,1.241229341530925e-13,3.412825577697731e-13,4.1924058925363676e-13,4.999204284459977e-16,1
0.5,0.2,2,1-2-3,2.0,2.8,3.8,3.2,0.63,1.241229341530925e-13,3.398392678377604e-13,1.3374924559427791e-12,7.808935577896758e-16,1
0.5,0.2,2,1-2-4,2.0,2.8,5.2,1.0,0.0,1.0436096431476471e-14,2.8033131371785203e-14,3.554226902766008e-14,2.399618056540789e-15,1
