order,segment,frequency,time_since_switch,absolute_time,actual_error,theory_bound,bound_utilization,implicit_oracle_error,pece_oracle_error,pass
0.5,0,0.8,1.0,1.0,0.3237508795752944,1.1399913122091168,0.2839941639098268,0.00010203349560737199,0.0003710934763190454,1
0.5,0,0.8,2.0,2.0,0.23844961104839366,0.9328036808186895,0.255626790450821,5.605809755565991e-05,0.0003748785417192825,1
0.5,0,0.8,5.0,5.0,0.14829354202869005,0.6746016118881741,0.2198238774046571,2.6286566193899364e-05,0.0003390233581951568,1
0.5,0,0.8,10.0,10.0,0.10093554894834032,0.5079737286642844,0.19870230142363876,1.487502536230134e-05,0.00035344208751831994,1
0.5,0,0.8,20.0,20.0,0.06883208745057064,0.3731835721879323,0.18444565243592057,1.3681026904463512e-05,0.00034848140201607656,1
0.5,0,0.8,demodulated_last_half,20.0,0.016613652381617116,0.5079737286642844,0.03270573150564828,nan,nan,1
0.5,1,1.4,1.0,21.0,0.08921781867358484,2.090355744554705,0.042680686723297584,3.471624660486371e-05,0.0005878937249937317,1
0.5,1,1.4,2.0,22.0,0.08133300323567225,1.7104442041427057,0.04755080758476848,2.9982190349676412e-05,0.0005908169113153777,1
0.5,1,1.4,5.0,25.0,0.06967412517535296,1.2369895626341698,0.05632555623750121,3.267758112241846e-05,0.0005825810799816064,1
0.5,1,1.4,10.0,30.0,0.059825365125069765,0.9314507842507821,0.06422815476309963,3.120292715500856e-05,0.0005845135817514885,1
0.5,1,1.4,20.0,40.0,0.04946490555835448,0.6842915516477138,0.07228630170757967,3.0033909559322616e-05,0.0005861745856907312,1
0.5,1,1.4,demodulated_last_half,40.0,0.0053900863060744215,0.9314507842507821,0.005786764472381618,nan,nan,1
0.5,2,2.3,1.0,41.0,0.056206273684915396,2.090355744554705,0.026888377172799672,8.378407355156135e-05,0.0009096002215110625,1
0.5,2,2.3,2.0,42.0,0.04201340769515678,1.7104442041427057,0.02456286360782776,7.320866676487257e-05,0.0008986580187504978,1
0.5,2,2.3,5.0,45.0,0.03939208313689282,1.2369895626341698,0.031845121678316636,7.459314313165058e-05,0.0008985889893414306,1
0.5,2,2.3,10.0,50.0,0.03986044059927389,0.9314507842507821,0.04279393100874983,7.635728967713342e-05,0.0008993449690101521,1
0.5,2,2.3,20.0,60.0,0.037663369402547615,0.6842915516477138,0.05503994505245248,7.655273817676287e-05,0.0008996408016930452,1
0.5,2,2.3,demodulated_last_half,60.0,0.002968123275948915,0.9314507842507821,0.0031865594255056024,nan,nan,1
0.7,0,0.8,1.0,1.0,0.41455155766067203,1.1003623749214555,0.3767409419921896,4.9139538863647604e-05,0.00015498978604602204,1
0.7,0,0.8,2.0,2.0,0.2618363421657343,0.7833925984780609,0.33423387286836503,3.310081790480463e-05,0.00016548495557802922,1
0.7,0,0.8,5.0,5.0,0.11487113564348629,0.42767226635396544,0.2685961767472023,1.7905903490700632e-05,0.00014274189027443956,1
0.7,0,0.8,10.0,10.0,0.05656303706888203,0.2507473986235733,0.2255777622395019,1.4123622130908266e-05,0.0001515480991556885,1
0.7,0,0.8,20.0,20.0,0.028625672308308182,0.14521010056454986,0.19713279032943917,1.3616201588882006e-05,0.00014953167963459315,1
0.7,0,0.8,demodulated_last_half,20.0,0.008565704914531841,0.2507473986235733,0.03416069303829883,nan,nan,1
0.7,1,1.4,1.0,21.0,0.11041601855374983,2.0176897726102934,0.05472398187899034,4.113928521224717e-05,0.00024219351802610815,1
0.7,1,1.4,2.0,22.0,0.07185736009281855,1.436475173917695,0.05002339156119361,3.807220125226851e-05,0.0002465348931777288,1
0.7,1,1.4,5.0,25.0,0.03679218762356924,0.7842052559394866,0.04691652771377028,3.658856431035554e-05,0.0002376255037707459,1
0.7,1,1.4,10.0,30.0,0.024212284077413708,0.4597853154943924,0.05265997686633166,3.6221406472872814e-05,0.00023959257584314883,1
0.7,1,1.4,20.0,40.0,0.016834178215386866,0.26626586065314906,0.0632231941943015,3.585829611831949e-05,0.00024038985070265118,1
0.7,1,1.4,demodulated_last_half,40.0,0.0021635675726087837,0.4597853154943924,0.0047056038975111,nan,nan,1
0.7,2,2.3,1.0,41.0,0.07201306071144635,2.0176897726102934,0.035690848855462434,9.370269101139703e-05,0.0003558040714800406,1
0.7,2,2.3,2.0,42.0,0.03763324983486778,1.436475173917695,0.026198329437348167,7.8107184239977e-05,0.00034473719021632074,1
0.7,2,2.3,5.0,45.0,0.011929421956283848,0.7842052559394866,0.015212116809893435,8.064192520214563e-05,0.00034341710809527985,1
0.7,2,2.3,10.0,50.0,0.010662283341216721,0.4597853154943924,0.02318969958784332,8.206592517233925e-05,0.00034429074704641336,1
