order,step,final_oracle_error
0.5,0.04,0.0001943318684143322
0.5,0.02,5.1174101371933676e-05
0.5,0.01,1.3654522782928021e-05
0.7,0.04,0.0002070557593956675
0.7,0.02,5.2316781672119365e-05
0.7,0.01,1.3235618814691617e-05
0.9,0.04,0.00022872401726393545
0.9,0.02,5.721058261860208e-05
0.9,0.01,1.4311556837336934e-05
0.97,0.04,0.00023900368352324124
0.97,0.02,5.9747794585211026e-05
0.97,0.01,1.4937495656434685e-05
1.0,0.04,0.00024385658034139091
1.0,0.02,6.095796136130804e-05
1.0,0.01,1.5239103888505994e-05
