scenario,severity,triple,expected,protocol_certified,status,numeric_pass,reasons,point_order,point_order_error,interval_lower,interval_upper,imaginary_invariant,invariant_error,reciprocal_margin,denominator_margin
valid,0.0,0-1-2,PASS,1,PASS,1,,0.7999999999996361,6.606538581352766e-05,0.7999396098655779,0.8000603893167864,-6.845447673654746e-16,1.3446611851421018e-05,0.9999992897780706,0.9999943182116278
valid,0.0,0-1-3,PASS,1,PASS,1,,0.799999999999909,3.363948743917839e-05,0.7999711024828684,0.8000288971985355,-1.1464062971542286e-15,2.2252985395949587e-05,0.9999991579068873,0.9999943182116278
valid,0.0,0-1-4,PASS,1,PASS,1,,0.8000000000000455,2.3538003009257256e-05,0.7999810213096223,0.800018978494836,-2.3752878674850203e-15,3.320474044162908e-05,0.9999990000000001,0.9999943182116278
valid,0.0,0-2-3,PASS,1,PASS,1,,0.7999999999996361,4.2635609767498844e-05,0.79996212579008,0.8000378737895515,-1.6879444661870338e-17,7.916993329521514e-06,0.9999991579068873,0.9999964546466867
valid,0.0,0-2-4,PASS,1,PASS,1,,0.799999999999909,2.2866714244958737e-05,0.7999809239350726,0.8000190758999451,-3.7978750489208265e-16,1.1927759350222126e-05,0.9999990000000001,0.9999964546466867
valid,0.0,0-3-4,PASS,1,PASS,1,,0.7999999999996361,3.637501158867366e-05,0.7999684439764676,0.8000315556779243,-2.1832048281071469e-16,6.224455773509752e-06,0.9999990000000001,0.9999972235549374
valid,0.0,1-2-3,PASS,1,PASS,1,,0.7999999999996361,8.876374981317237e-05,0.7999186576391366,0.8000813409156763,4.3205443206853044e-16,2.2419399650957324e-05,0.9999991579068873,0.9999915936016621
valid,0.0,1-2-4,PASS,1,PASS,1,,0.799999999999909,4.6718061937124194e-05,0.7999597638035992,0.800040235588449,2.4195048195837706e-16,3.805311226581659e-05,0.9999990000000001,0.9999915936016621
valid,0.0,1-3-4,PASS,1,PASS,1,,0.7999999999996361,5.4065878742860986e-05,0.7999517589611059,0.8000482403811475,-2.1251806672614281e-16,1.0282635331694014e-05,0.9999990000000001,0.999995442497459
valid,0.0,2-3-4,PASS,1,PASS,1,,0.7999999999996361,9.765279121286751e-05,0.7999106848803421,0.8000893133394129,-5.481089088155127e-16,2.3825005360368416e-05,0.9999990000000001,0.9999908500693733
common_gain_phase,0.0,0-1-2,PASS,1,PASS,1,,0.7999999999996361,2.7527142814111485e-05,0.7999748376354547,0.8000251622219368,-9.50386678296229e-16,5.602734325123678e-06,0.9999997040741961,0.9999976325889568
common_gain_phase,0.0,0-1-3,PASS,1,PASS,1,,0.799999999999909,1.4016401313841099e-05,0.7999879594511183,0.8000120404935842,-1.1879833478702862e-15,9.272042991279673e-06,0.9999996491278698,0.9999976325889568
common_gain_phase,0.0,0-1-4,PASS,1,PASS,1,,0.8000000000000455,9.807464806686746e-06,0.799992092265529,0.8000079077005922,-1.4255800174443433e-15,1.3835257101818231e-05,0.9999995833333334,0.9999976325889568
common_gain_phase,0.0,0-2-3,PASS,1,PASS,1,,0.7999999999996361,1.7764792929546717e-05,0.7999842191700737,0.8000157807571668,1.2156673392685524e-16,3.298738962348913e-06,0.9999996491278698,0.9999985227700048
common_gain_phase,0.0,0-2-4,PASS,1,PASS,1,,0.799999999999909,9.527773472859878e-06,0.7999920516798738,0.8000079482915681,2.4313346785371047e-16,4.9698871429574655e-06,0.9999995833333334,0.9999985227700048
common_gain_phase,0.0,0-3-4,PASS,1,PASS,1,,0.7999999999996361,1.5156222348469833e-05,0.7999868517272262,0.800013148213111,0.0,2.593517680992455e-06,0.9999995833333334,0.9999988431483986
common_gain_phase,0.0,1-2-3,PASS,1,PASS,1,,0.7999999999996361,3.698469865116117e-05,0.7999661077059501,0.8000338920428479,9.957378999102419e-16,9.3413667378387e-06,0.9999996491278698,0.9999964973353881
common_gain_phase,0.0,1-2-4,PASS,1,PASS,1,,0.799999999999909,1.946575509356706e-05,0.7999832350817087,0.8000167648127899,1.7425413248429235e-15,1.5855378695103365e-05,0.9999995833333334,0.9999964973353881
common_gain_phase,0.0,1-3-4,PASS,1,PASS,1,,0.7999999999996361,2.2527377980370432e-05,0.7999798997112522,0.8000201001745153,1.093262409223463e-16,4.284417790619361e-06,0.9999995833333334,0.9999981010414517
common_gain_phase,0.0,2-3-4,PASS,1,PASS,1,,0.7999999999996361,4.068842525453034e-05,0.7999627858005622,0.8000372138903913,-1.949388628074127e-16,9.927027561157912e-06,0.9999995833333334,0.9999961875306563
independent_q,0.01,0-1-2,NOT_CERTIFIABLE,0,NOT_CERTIFIABLE,0,protocol_G0|imaginary_inconsistency,0.786924154233202,6.899065010526398e-05,,,0.22436711398529516,1.4042005233438412e-05,0.9999992897780706,0.9999940704743173
independent_q,0.01,0-1-3,NOT_CERTIFIABLE,0,NOT_CERTIFIABLE,0,protocol_G0|imaginary_inconsistency,0.7811066747090989,3.47802315971391e-05,,,0.20368404913198587,2.3007603406509697e-05,0.9999991621068443,0.9999940704743173
independent_q,0.01,0-1-4,NOT_CERTIFIABLE,0,NOT_CERTIFIABLE,0,protocol_G0|imaginary_inconsistency,0.7792859668928032,2.431503471972722e-05,,,0.525326343678031,3.430088849849367e-05,0.9999990099501663,0.9999940704743173
independent_q,0.01,0-2-3,NOT_CERTIFIABLE,0,NOT_CERTIFIABLE,0,protocol_G0|imaginary_inconsistency,0.730981541426081,4.333072596593891e-05,,,-0.08065252861996493,8.046069243676433e-06,0.9999991621068443,0.999996345881752
independent_q,0.01,0-2-4,NOT_CERTIFIABLE,0,NOT_CERTIFIABLE,0,protocol_G0|imaginary_inconsistency,0.7757110316589206,2.318682647257637e-05,,,-0.0014526600236689424,1.2094736624490046e-05,0.9999990099501663,0.999996345881752
independent_q,0.01,0-3-4,NOT_CERTIFIABLE,0,NOT_CERTIFIABLE,0,protocol_G0|imaginary_inconsistency,0.7997198019042115,3.708633008799083e-05,,,0.07222099823095904,6.346175887030147e-06,0.9999990099501663,0.9999971417712528
independent_q,0.01,1-2-3,NOT_CERTIFIABLE,0,NOT_CERTIFIABLE,0,protocol_G0|imaginary_inconsistency,0.5003109787043286,8.734766092184704e-05,,,-0.30398654707817196,2.2061732665698975e-05,0.9999991621068443,0.9999915187817416
independent_q,0.01,1-2-4,NOT_CERTIFIABLE,0,NOT_CERTIFIABLE,0,protocol_G0|imaginary_inconsistency,0.6900365860661621,4.592904205449836e-05,,,-0.32074733205666656,3.741043444639139e-05,0.9999990099501663,0.9999915187817416
independent_q,0.01,1-3-4,NOT_CERTIFIABLE,0,NOT_CERTIFIABLE,0,protocol_G0|imaginary_inconsistency,0.8121302334046047,5.523983218715786e-05,,,0.0854919446467472,1.0505906190223893e-05,0.9999990099501663,0.9999953141293932
independent_q,0.01,2-3-4,NOT_CERTIFIABLE,0,NOT_CERTIFIABLE,0,protocol_G0|imaginary_inconsistency,0.7575162787945373,0.00010084532787100198,,,0.2867161866869217,2.4603909906244868e-05,0.9999990099501663,0.999990550595458
independent_lambda,0.01,0-1-2,NOT_CERTIFIABLE,0,NOT_CERTIFIABLE,0,protocol_G0|imaginary_inconsistency,0.8002804194558848,6.594874362136524e-05,,,-0.00018974538615792558,1.3422871094227317e-05,0.9999992897780706,0.9999943309351428
independent_lambda,0.01,0-1-3,NOT_CERTIFIABLE,0,NOT_CERTIFIABLE,0,protocol_G0|imaginary_inconsistency,0.7997462352923321,3.357852817999525e-05,,,0.0005937996876482825,2.221266000434536e-05,0.9999991577325725,0.9999943309351428
independent_lambda,0.01,0-1-4,NOT_CERTIFIABLE,0,NOT_CERTIFIABLE,0,protocol_G0|imaginary_inconsistency,0.7995763086629268,2.3494235704718827e-05,,,0.0022523471862796506,3.314299850088514e-05,0.9999989996628103,0.9999943309351428
independent_lambda,0.01,0-2-3,NOT_CERTIFIABLE,0,NOT_CERTIFIABLE,0,protocol_G0|imaginary_inconsistency,0.799273289296434,4.25801556180422e-05,,,0.00046141538406733177,7.906696065480101e-06,0.9999991577325725,0.9999964609802862
independent_lambda,0.01,0-2-4,NOT_CERTIFIABLE,0,NOT_CERTIFIABLE,0,protocol_G0|imaginary_inconsistency,0.7992721300153791,2.283599280533828e-05,,,0.0013823303666236954,1.1911734400823635e-05,0.9999989996628103,0.9999964609802862
