scenario,severity,cases,pass,reject_numeric,not_certifiable,numeric_pass,numeric_pass_rate
adversarial_observation_equivalent_q,0.15000000000000002,10,0,0,10,10,1.0
close_heart_rates,0.25,10,0,0,10,0,0.0
close_heart_rates,1.0,10,0,0,10,0,0.0
close_heart_rates,3.0,10,0,0,10,0,0.0
close_heart_rates,8.0,10,0,0,10,0,0.0
common_gain_phase,0.0,10,10,0,0,10,1.0
delay_corrected,1.0,10,10,0,0,10,1.0
delay_corrected,5.0,10,10,0,0,10,1.0
delay_corrected,20.0,10,10,0,0,10,1.0
delay_corrected,80.0,10,10,0,0,10,1.0
independent_lambda,0.01,10,0,0,10,0,0.0
independent_lambda,0.05,10,0,0,10,0,0.0
independent_lambda,0.2,10,0,0,10,0,0.0
independent_phase,1.0,10,0,0,10,0,0.0
independent_phase,5.0,10,0,0,10,0,0.0
independent_phase,20.0,10,0,0,10,0,0.0
independent_q,0.01,10,0,0,10,0,0.0
independent_q,0.05,10,0,0,10,0,0.0
independent_q,0.2,10,0,0,10,0,0.0
per_window_normalization,0.01,10,0,0,10,0,0.0
per_window_normalization,0.05,10,0,0,10,0,0.0
per_window_normalization,0.2,10,0,0,10,0,0.0
short_dwell,1.0,10,0,0,10,0,0.0
uncalibrated_delay,1.0,10,0,0,10,0,0.0
uncalibrated_delay,5.0,10,0,0,10,0,0.0
uncalibrated_delay,20.0,10,0,0,10,0,0.0
uncalibrated_delay,80.0,10,0,0,10,0,0.0
valid,0.0,10,10,0,0,10,1.0
