case_id,order_true,damping_true,morphology_real,morphology_imag,frequency_1,frequency_2,frequency_3,frequency_ratio,gain_real,gain_imag,raw_order_abs_error,raw_damping_abs_error,raw_morphology_abs_error,gained_order_abs_error,gained_damping_abs_error,gained_morphology_abs_error,common_gain_order_difference,common_gain_damping_difference,positive_consistent,positive_order_spread,positive_damping_spread,geometric_cross_ratio_abs_error,tamper_consistency_outcome,tamper_detected,tampered_cross_ratio_deviation
0,0.050000000000000003,0.01,0.40000000000000002,0.69999999999999996,0.34999999999999998,0.4375,0.546875,1.25,-0.1474787431082491,-0.1350926361102302,8.7846396823465511e-15,7.2728281730327637e-14,5.3924047756106646e-14,8.7846396823465511e-15,8.1167711440954804e-14,1.2152006265011331e-14,0,8.4394297106271665e-15,true,0,6.4951516387523611e-14,1.8472822977946884e-14,INCONSISTENT,true,0.0010482410055021891
1,0.050000000000000003,0.01,-1.2,0.29999999999999999,1,1.25,1.5625,1.25,0.71650236684420454,-0.22164015499600465,8.7846396823465511e-15,2.5351248877925059e-14,3.647150228754316e-14,8.7846396823465511e-15,2.4141626198126431e-13,2.2123761616799887e-13,0,2.6676751085918937e-13,true,0,2.2350177264485183e-14,8.2984711076667947e-15,INCONSISTENT,true,0.0009951921857082849
2,0.050000000000000003,0.01,2,-1.5,2.5,3.125,3.90625,1.25,1.1339903035639434,2.2280184001535885,8.7846396823465511e-15,5.59170765246364e-14,1.2060620023521515e-13,8.7846396823465511e-15,3.7405842312487891e-14,2.7783521403629106e-13,0,9.3322918837124291e-14,true,0,2.7974150773601991e-14,2.1691625470319942e-14,INCONSISTENT,true,0.00095106781005020301
3,0.050000000000000003,0.01,0.40000000000000002,0.69999999999999996,0.34999999999999998,0.61249999999999993,1.0718749999999999,1.75,-7.2325771361364897,3.4190390418706382,8.7846396823465511e-15,4.1768671854569561e-14,2.8829747255218102e-14,8.7846396823465511e-15,6.0533175694210684e-14,3.5173659674196789e-13,0,1.8764503839641122e-14,true,0,4.3423598050651435e-14,1.9936822709659238e-14,INCONSISTENT,true,0.0010571828003716676
4,0.050000000000000003,0.01,-1.2,0.29999999999999999,1,1.75,3.0625,1.75,-0.1474787431082491,-0.1350926361102302,8.7846396823465511e-15,3.8909847566159783e-15,1.7875969802299683e-14,8.7846396823465511e-15,1.1907141939104804e-14,4.2948558340604624e-15,0,1.5798126695720782e-14,true,0,2.0771578901346288e-14,3.3463095180773797e-15,INCONSISTENT,true,0.0010036814590483069
5,0.050000000000000003,0.01,2,-1.5,2.5,4.375,7.65625,1.75,0.71650236684420454,-0.22164015499600465,8.7846396823465511e-15,2.6534330288541241e-14,8.7437376257273476e-14,8.7846396823465511e-15,5.8701307703579175e-14,1.198063883502428e-13,0,3.2166977415037934e-14,true,0,3.5854999524964626e-14,1.4323031829362977e-14,INCONSISTENT,true,0.00095918068980157959
6,0.050000000000000003,0.01,0.40000000000000002,0.69999999999999996,0.34999999999999998,1.0499999999999998,3.1499999999999999,3,1.1339903035639434,2.2280184001535885,8.7846396823465511e-15,1.8237147902944173e-14,1.2658490090568386e-14,8.7846396823465511e-15,3.4071703791660468e-14,5.7273736207229154e-14,0,1.5834555888716295e-14,true,0,5.6604027021123215e-15,9.8080129047736033e-15,INCONSISTENT,true,0.0010718239343971245
7,0.050000000000000003,0.01,-1.2,0.29999999999999999,1,3,9,3,-7.2325771361364897,3.4190390418706382,8.7846396823465511e-15,1.3872583637386526e-14,2.4738798496122972e-14,8.7846396823465511e-15,9.775166787129308e-15,1.6157281311061878e-13,0,2.3647750424515834e-14,true,0,7.5980888247784151e-15,1.7357809440490837e-14,INCONSISTENT,true,0.0010175816424040219
8,0.050000000000000003,0.01,2,-1.5,2.5,7.5,22.5,3,-0.1474787431082491,-0.1350926361102302,8.7846396823465511e-15,4.0210890173142388e-15,3.6372641392428638e-14,8.7846396823465511e-15,5.3429483060085659e-16,7.8415395882080836e-15,0,3.4867941867133823e-15,true,0,7.868705687030797e-15,8.5092391914456818e-15,INCONSISTENT,true,0.00097246457319887642
9,0.050000000000000003,0.01,0.40000000000000002,0.69999999999999996,0.34999999999999998,2.0999999999999996,12.6,6,0.71650236684420454,-0.22164015499600465,8.7846396823465511e-15,2.2065682614424986e-15,1.2230607063941444e-14,8.7846396823465511e-15,1.0142928164036391e-14,1.4762209355896038e-14,0,1.234949642547889e-14,true,0,8.6215756756047313e-16,9.1220966736076126e-16,INCONSISTENT,true,0.0010912417625846417
10,0.050000000000000003,0.01,-1.2,0.29999999999999999,1,6,36,6,1.1339903035639434,2.2280184001535885,8.7846396823465511e-15,1.5428630595337722e-14,2.6151880131478885e-14,8.7846396823465511e-15,1.3143999777476267e-14,5.6484935435621965e-14,0,2.857263037281399e-14,true,0,1.5038317813242941e-14,5.0628016803326838e-15,INCONSISTENT,true,0.0010360167835074552
11,0.050000000000000003,0.01,2,-1.5,2.5,15,90,6,-7.2325771361364897,3.4190390418706382,8.7846396823465511e-15,1.189846832172492e-14,3.7380073279392016e-14,8.7846396823465511e-15,1.9297063946766002e-14,3.5924593817349908e-13,0,7.3985956250410823e-15,true,0,1.0706713293728853e-14,3.1039955175738026e-15,INCONSISTENT,true,0.00099008234546393891
12,0.050000000000000003,0.10000000000000001,0.40000000000000002,0.69999999999999996,0.34999999999999998,0.4375,0.546875,1.25,-0.1474787431082491,-0.1350926361102302,8.7846396823465511e-15,1.2989609388114332e-14,9.9226862155818246e-15,8.7846396823465511e-15,2.400857290751901e-15,2.1879532942952697e-15,0,1.0588752097362431e-14,true,0,8.4654505627668186e-15,1.7360626942498255e-14,INCONSISTENT,true,0.0095447724887937693
13,0.050000000000000003,0.10000000000000001,-1.2,0.29999999999999999,1,1.25,1.5625,1.25,0.71650236684420454,-0.22164015499600465,8.7846396823465511e-15,3.2529534621517087e-14,4.0629915724600267e-14,8.7846396823465511e-15,4.266031972122164e-14,3.859186975520023e-14,0,1.0130785099704553e-14,true,0,7.1609385088322597e-15,5.906636988752168e-14,INCONSISTENT,true,0.0091029548179097277
14,0.050000000000000003,0.10000000000000001,2,-1.5,2.5,3.125,3.90625,1.25,1.1339903035639434,2.2280184001535885,8.7846396823465511e-15,4.0134562340199409e-14,1.0781860467731501e-13,8.7846396823465511e-15,6.3379856918288624e-14,3.9168693483892707e-13,0,2.3245294578089215e-14,true,0,7.7118866848024936e-14,1.733183085743723e-14,INCONSISTENT,true,0.0087323899888071162
